genre,track_id,track_name,artist_name,tempo,danceability,energy,acousticness,duration_ms,instrumentalness,liveness,loudness,mode,speechiness,time_signature,valence
pop,3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,110.962,0.787,0.673,0.264,237893,3.35e-06,0.0904,-4.583,0,0.159,4,0.779
pop,7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,186.003,0.679,0.587,0.141,230453,6.35e-06,0.137,-7.015,1,0.276,4,0.486
pop,0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),Post Malone,150.097,0.547,0.653,0.456,174853,0.0,0.103,-3.875,1,0.081,4,0.163
pop,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby,89.977,0.746,0.69,0.247,181733,0.0,0.101,-7.956,1,0.164,4,0.497
pop,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,77.169,0.754,0.449,0.0332,198973,8.29e-05,0.552,-9.211,1,0.109,4,0.357
pop,3CA9pLiwRIGtUBiMjbZmRw,Nice For What,Drake,93.372,0.585,0.909,0.0891,210747,9.7e-05,0.119,-6.474,1,0.0707,4,0.758
pop,6Hfu9sc7jvv6coyy2LlzBF,Hurricane,Kanye West,80.009,0.587,0.561,0.0466,243187,0.0,0.109,-6.569,1,0.146,4,0.351
pop,1LPSkqVhWVRUkKE03YUkpB,Leave The Door Open,Bruno Mars,148.088,0.586,0.616,0.182,242096,0.0,0.0927,-7.964,1,0.0324,4,0.719
pop,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,166.928,0.563,0.664,0.335,178147,0.0,0.0849,-5.044,1,0.154,4,0.688
pop,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Chris Brown,92.928,0.696,0.454,0.123,260640,0.0,0.155,-6.756,0,0.153,4,0.136
pop,0k4d5YPDr1r7FX77VdqWez,You Right,Doja Cat,128.986,0.828,0.621,0.0164,186173,0.00233,0.0845,-6.414,1,0.0565,4,0.436
pop,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,178.781,0.593,0.503,0.293,137704,0.0,0.405,-6.725,0,0.22,4,0.71
pop,6M3PsepEj5gyJoIi7Xvr7u,Take My Breath - Single Version,The Weeknd,120.996,0.747,0.739,0.0106,220196,2.22e-05,0.101,-6.008,1,0.0487,4,0.523
pop,3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),Doja Cat,110.97,0.764,0.705,0.259,208667,8.92e-05,0.12,-3.463,1,0.0284,4,0.781
pop,3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,130.041,0.664,0.609,0.304,210560,0.0,0.0926,-6.509,1,0.0707,4,0.194
pop,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,80.924,0.609,0.668,0.0552,288600,0.0,0.167,-4.284,1,0.0367,4,0.811
pop,1sbEeUY8KsdvgiQi26JBFz,POPSTAR (feat. Drake),DJ Khaled,163.085,0.803,0.565,0.0558,200221,0.0,0.141,-4.711,0,0.235,4,0.474
pop,2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,96.133,0.697,0.683,0.0372,186987,0.0,0.137,-2.881,0,0.117,4,0.603
pop,6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,139.848,0.777,0.317,0.591,178627,0.0,0.0881,-10.732,0,0.308,4,0.33
pop,5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),Ariana Grande,116.965,0.789,0.742,0.0681,167990,0.0,0.166,-5.664,0,0.0652,4,0.661
pop,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,144.015,0.737,0.802,0.468,172325,0.0,0.0931,-4.771,1,0.0878,4,0.682
pop,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Ariana Grande,121.993,0.699,0.713,0.04,205920,3.11e-06,0.294,-5.507,0,0.0594,4,0.354
pop,2meEiZKWkiN28gITzFwQo5,Into You,Ariana Grande,107.853,0.623,0.734,0.0162,244453,1.75e-06,0.145,-5.948,1,0.107,4,0.37
pop,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",Ariana Grande,106.976,0.72,0.654,0.227,207320,0.0,0.101,-5.634,1,0.0647,4,0.411
pop,7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,Ava Max,133.002,0.72,0.706,0.0684,187436,0.0,0.166,-4.719,1,0.0473,4,0.62
pop,7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Ava Max,129.857,0.637,0.69,0.00786,162399,0.0,0.124,-4.057,0,0.0405,4,0.457
pop,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,127.999,0.579,0.736,0.31,230613,0.0,0.198,-3.863,0,0.0527,4,0.613
pop,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,Axwell /\ Ingrosso,123.077,0.646,0.741,0.0275,203000,0.0,0.312,-4.973,0,0.034,4,0.571
pop,20R4HfKloPKgXDqU7UKk3x,Therefore I Am,Billie Eilish,94.016,0.879,0.365,0.227,173539,0.135,0.0583,-7.781,1,0.0924,4,0.663
pop,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,106.97,0.818,0.803,0.034,225983,0.0,0.153,-4.282,1,0.0797,4,0.632
pop,3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,105.115,0.704,0.859,0.0185,217289,0.0,0.0215,-4.877,0,0.0996,4,0.926
pop,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,104.988,0.765,0.523,0.184,217307,3.56e-05,0.132,-4.333,1,0.03,4,0.394
pop,5OCJzvD7sykQEKHH7qAC3C,God is a woman,Ariana Grande,145.031,0.602,0.658,0.0233,197547,6e-05,0.237,-5.934,1,0.0558,4,0.268
pop,4OafepJy2teCjYJbvFE60J,breathin,Ariana Grande,100.049,0.568,0.656,0.0211,198160,1.37e-05,0.213,-5.413,1,0.0433,4,0.364
pop,1pKeFVVUOPjFsOABub0OaV,Side To Side,Ariana Grande,159.173,0.65,0.736,0.0528,226160,0.0,0.235,-5.84,0,0.229,4,0.613
pop,2h1IPjP471JJRSShTHRUhi,Dangerous Woman,Ariana Grande,134.052,0.677,0.604,0.0612,235947,0.0,0.353,-5.32,1,0.0385,3,0.297
pop,2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora),Avicii,102.977,0.655,0.666,0.134,181812,2.12e-05,0.0683,-5.309,1,0.0612,4,0.272
pop,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,135.128,0.701,0.425,0.328,194088,0.13,0.1,-10.965,1,0.375,4,0.562
pop,3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,Billie Eilish,118.028,0.853,0.351,0.39,221543,9.38e-06,0.752,-10.198,1,0.241,4,0.282
pop,4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,120.046,0.905,0.389,0.74,193143,0.162,0.106,-14.505,1,0.332,4,0.196
pop,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,81.055,0.332,0.225,0.767,298899,0.00349,0.128,-8.697,1,0.0348,3,0.297
pop,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,134.066,0.853,0.56,0.013,206693,0.0,0.0944,-4.961,1,0.0406,4,0.86
pop,7sMBvZCSUl99bJLXZaLa0b,Smokin Out The Window,Bruno Mars,82.03,0.627,0.618,0.0558,197443,0.0,0.351,-8.529,1,0.0437,4,0.848
pop,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,105.046,0.724,0.491,0.018,170746,1.29e-05,0.0887,-6.024,1,0.0296,4,0.383
pop,4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,Camila Cabello,129.923,0.637,0.713,0.181,226973,0.000637,0.137,-4.333,1,0.0747,4,0.243
pop,1058fW9H3fZA6QjYCdOBad,Don't Go Yet,Camila Cabello,110.108,0.666,0.796,0.0492,164842,0.0,0.0442,-6.967,0,0.103,4,0.61
pop,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,102.977,0.702,0.825,0.00883,203064,0.0,0.0674,-3.787,0,0.0601,4,0.915
pop,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,116.073,0.762,0.7,0.00261,209320,1.56e-05,0.153,-6.021,0,0.0694,4,0.608
pop,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,123.95,0.793,0.793,0.0123,183290,0.0,0.0951,-4.521,0,0.083,4,0.679
pop,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,113.011,0.73,0.729,0.167,221820,1.39e-06,0.349,-3.434,0,0.0884,4,0.467
pop,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,90.035,0.749,0.463,0.21,226987,0.0382,0.338,-8.433,1,0.0842,4,0.189
pop,1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,124.876,0.689,0.516,0.513,190920,0.0,0.163,-5.857,1,0.0444,4,0.209
pop,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,97.979,0.671,0.672,0.0329,204173,0.0,0.118,-3.094,0,0.0688,4,0.632
pop,1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake,103.967,0.792,0.625,0.00776,173987,0.0018,0.329,-5.609,1,0.0536,4,0.37
pop,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,136.041,0.878,0.619,0.0533,157067,0.0,0.113,-5.56,1,0.102,4,0.639
pop,00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),Post Malone,97.014,0.687,0.781,0.0361,193507,0.0,0.0755,-4.806,1,0.053,4,0.688
pop,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,120.042,0.695,0.763,0.189,215280,0.00242,0.0863,-3.497,1,0.0396,4,0.551
